CustomerID,Recency,Frequency,Monetary,ReviewText,Cluster,Cleaned_ReviewText,Sentiment_Compound,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Label
CUST-0001,25.8,6,159.7,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0002,165.6,9,252.0,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0003,72.4,2,138.1,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0004,50.2,9,601.88,"Acceptable performance. It functions as described, but packaging was slightly dented.",1,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0005,9.3,3,184.22,"Acceptable performance. It functions as described, but packaging was slightly dented.",2,acceptable performance it functions as described but packaging was slightly dented,0.1655,0.142,0.858,0.0,Positive
CUST-0006,9.3,11,567.42,Flawless customer service. They resolved my return in under 3 minutes.,1,flawless customer service they resolved my return in under 3 minutes,0.6124,0.385,0.615,0.0,Positive
CUST-0007,3.3,7,48.7,"A bit pricey for what it delivers, but overall decent experience.",2,a bit pricey for what it delivers but overall decent experience,0.0,0.0,1.0,0.0,Neutral
CUST-0008,110.6,9,437.87,Completely defective. The charging unit broke after 3 days of normal use.,1,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0009,50.5,2,116.35,Completely defective. The charging unit broke after 3 days of normal use.,0,completely defective the charging unit broke after 3 days of normal use,-0.7178,0.0,0.6,0.4,Negative
CUST-0010,67.7,5,201.87,Do not recommend. Horrible return policy and unhelpful customer support.,0,do not recommend horrible return policy and unhelpful customer support,0.533,0.379,0.477,0.144,Positive
CUST-0011,1.1,1,37.18,Standard delivery time. Product is fine for routine everyday use.,0,standard delivery time product is fine for routine everyday use,0.2023,0.167,0.833,0.0,Positive
